Received	Last location	Reason	Speed (kph)	Mileage (km)	Heading	GPS	Installed	Button	Door	Main power	Light	Temperature	Address	Longitude	Latitude	Altitude (m)	Name
7/12/2017 8:22	7/11/2017 20:15	Tracking	_	0	0	3 / Off / 3 km	Off	Off	Opened	64% / 3.92v	_	29.0c	"Mettingen (Customer Daimler Power Train: Daimler AG (Stuttgart, Germany))"	9.2723	48.7481	243	591016
7/12/2017 8:22	_	Ping	_	_	_	_	_	_	_	_	_	_	"Mettingen (Customer Daimler Power Train: Daimler AG (Stuttgart, Germany))"	9.2723	48.7481	_	591016
7/12/2017 8:23	7/12/2017 8:23	Location update (Tracking)	_	0	0	0 / On / 2 km	Off	Off	Opened	62% / 3.91v	_	25.0c	"Mettingen, Halbergstrasse (Customer Daimler Power Train: Daimler AG (Stuttgart, Germany))"	9.2753	48.7508	243	591016
7/12/2017 9:47	7/12/2017 8:25	Light on	0	0	0	7 / Off / Invalid	Off	Off	Opened	66% / 3.93v	15	24.0c	"Mettingen, Emil-kessler-strasse (Customer Daimler Power Train: Daimler AG (Stuttgart, Germany))"	9.273	48.749	224	591016
7/12/2017 9:48	_	Ping	_	_	_	_	_	_	_	_	_	_	"Mettingen, Emil-kessler-strasse (Customer Daimler Power Train: Daimler AG (Stuttgart, Germany))"	9.273	48.749	_	591016
7/12/2017 9:48	7/12/2017 9:48	Location update (Light on)	_	0	0	0 / On / 600 m	Off	Off	Opened	62% / 3.91v	14	24.0c	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	8.994	48.7051	224	591016
7/12/2017 9:48	7/12/2017 9:48	Leaving Daimler AG (Germany)	_	0	0	0 / On / 600 m	Off	Off	Opened	62% / 3.91v	14	24.0c	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	8.994	48.7051	224	591016
7/12/2017 9:48	7/12/2017 9:48	Tracking	_	0	0	0 / On / 600 m	Off	Off	Opened	62% / 3.91v	14	24.0c	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	8.994	48.7051	224	591016
7/12/2017 9:50	7/12/2017 9:48	Light off	_	0	0	0 / On / 600 m	Off	Off	Opened	64% / 3.92v	_	25.0c	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	8.994	48.7051	224	591016
7/12/2017 10:18	7/12/2017 10:18	Tracking	0	0	0	4 / On / Valid	Off	Off	Opened	64% / 3.92v	_	24.0c	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	8.9928	48.7037	444	591016
7/12/2017 10:19	_	Ping	_	_	_	_	_	_	_	_	_	_	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	8.9927	48.7037	_	591016
7/12/2017 12:32	7/12/2017 10:18	Tracking	0	0	0	6 / Off / Invalid	Off	Off	Opened	62% / 3.91v	_	25.0c	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	8.9927	48.7037	442	591016
