Received	Last location	Reason	Speed (kph)	Mileage (km)	Heading	GPS	Installed	Button	Door	Main power	Light	Temperature	Address	Longitude	Latitude	Altitude (m)	Name	transporter (MMSI)
7/12/2017 10:18	7/12/2017 10:18	Tracking	0	0	0	4 / On / Valid	Off	Off	Opened	64% / 3.92v	_	24.0c	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	8.9928	48.7037	444	591016	
7/12/2017 12:33	7/12/2017 12:33	Location update (Tracking)	0	0	0	5 / On / Valid	Off	Off	Opened	60% / 3.9v	_	30.0c	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	8.9924	48.703	380	591016	
7/12/2017 13:47	7/12/2017 13:47	Location update (Tracking)	0	0	0	6 / On / Valid	Off	Off	Opened	60% / 3.9v	_	32.0c	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	8.9927	48.7035	443	591016	
7/12/2017 13:54	7/12/2017 13:54	Location update (Button on)	24	0	203	4 / On / Valid	Off	Off	Opened	60% / 3.9v	3488	32.0c	"B?�blingen, Junkerstrasse (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	8.9786	48.6873	432	591016	
7/12/2017 14:16	7/12/2017 14:16	Tracking	1	0	0	7 / On / Valid	Off	Off	Opened	64% / 3.92v	3872	34.0c	"B?�blingen, Dornierstrasse (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	8.9776	48.6841	462	591016	
7/12/2017 15:55	7/12/2017 15:55	Location update (Light on)	3	0	64	4 / On / Valid	Off	Off	Opened	94% / 4.07v	17	29.0c	"B?�blingen, Dornierstrasse (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	8.9781	48.6841	462	591016	
7/14/2017 12:04	7/14/2017 12:05	Leaving Daimler Car Factory (Germany)	13	0	343	4 / On / Valid	Off	Off	Opened	98% / 4.09v	_	27.0c	"B?�blingen, Autobahnkreuz B?�blingen-hulb (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	8.9697	48.6834	431	591016	
7/14/2017 12:05	7/14/2017 12:05	Location update (Weak impact)	39	0	350	6 / On / Valid	Off	Off	Opened	98% / 4.09v	_	27.0c	"B?�blingen, Autobahnkreuz B?�blingen-hulb (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	8.9693	48.6846	435	591016	
7/14/2017 12:12	7/14/2017 12:12	Entering Daimler Car Factory (Germany)	58	0	121	5 / On / Valid	Off	Off	Opened	98% / 4.09v	4095	26.0c	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	9.001	48.7035	444	591016	
7/14/2017 12:18	7/14/2017 12:18	Location update (Weak impact)	42	0	165	5 / On / Valid	Off	Off	Opened	96% / 4.08v	82	28.0c	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	8.991	48.6965	461	591016	
7/14/2017 12:27	7/14/2017 12:27	Location update (Weak impact)	23	0	0	5 / On / Valid	Off	Off	Opened	96% / 4.08v	396	27.0c	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	8.9923	48.6955	413	591016	
7/14/2017 12:41	7/14/2017 12:41	Location update (Weak impact)	4	0	201	5 / On / Valid	Off	Off	Opened	96% / 4.08v	69	28.0c	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	8.9924	48.6954	452	591016	
7/14/2017 12:49	7/14/2017 12:49	Location update (Weak impact)	4	0	0	6 / On / Valid	Off	Off	Opened	98% / 4.09v	7	27.0c	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	8.9913	48.6953	531	591016	
7/14/2017 13:52	7/14/2017 13:53	Location update (Tracking)	0	0	0	5 / On / Valid	Off	Off	Opened	98% / 4.09v	_	23.0c	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	8.9925	48.6952	564	591016	
7/14/2017 14:53	7/14/2017 14:53	Tracking	0	0	0	5 / On / Valid	Off	Off	Opened	98% / 4.09v	_	24.0c	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	8.9923	48.6961	431	591016	
7/14/2017 15:53	7/14/2017 15:53	Location update (Tracking)	0	0	0	7 / On / Valid	Off	Off	Opened	98% / 4.09v	_	27.0c	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	8.9957	48.6979	662	591016	
7/14/2017 16:53	7/14/2017 16:53	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	98% / 4.09v	_	29.0c	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	8.9947	48.6965	386	591016	
7/14/2017 17:53	7/14/2017 17:53	Tracking	0	0	0	6 / On / Valid	Off	Off	Opened	98% / 4.09v	_	28.0c	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	9.001	48.703	447	591016	
7/14/2017 18:53	7/14/2017 18:53	Tracking	0	0	0	5 / On / Valid	Off	Off	Opened	98% / 4.09v	_	27.0c	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	9.0013	48.7033	499	591016	
7/14/2017 19:53	7/14/2017 19:53	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	98% / 4.09v	_	26.0c	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	9.001	48.7031	416	591016	
7/14/2017 20:53	7/14/2017 20:53	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	98% / 4.09v	_	25.0c	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	9.001	48.7031	445	591016	
7/14/2017 21:53	7/14/2017 21:53	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	98% / 4.09v	_	24.0c	"Sindelfingen (Customer Daimler Passengers: Daimler Car Factory (Bela-Barenyi-Str. 1, Germany))"	9.0009	48.7031	424	591016	
7/14/2017 22:53	7/14/2017 22:53	Leaving Daimler Car Factory (Germany)	7	0	297	7 / On / Valid	Off	Off	Opened	98% / 4.09v	_	24.0c	"Magstadt, Hindenburgstrasse"	8.9658	48.7361	457	591016	
7/14/2017 22:53	7/14/2017 22:53	Tracking	13	0	297	7 / On / Valid	Off	Off	Opened	98% / 4.09v	_	24.0c	"Magstadt, Hindenburgstrasse"	8.9653	48.7363	457	591016	
7/14/2017 23:33	7/14/2017 23:33	Tracking	24	0	24	7 / On / Valid	Off	Off	Opened	98% / 4.09v	_	23.0c	"Kornwestheim, M?�nchinger Strasse"	9.1715	48.8634	308	591016	
7/14/2017 23:53	7/14/2017 23:53	Tracking	25	0	19	7 / On / Valid	Off	Off	Opened	98% / 4.09v	_	23.0c	"Kornwestheim (Customer Daimler Power Train: Consolidation hub (Rudolf-Diesel-Stra?�e 2 70806 Kornwestheim, Germany))"	9.1764	48.8706	301	591016	
7/15/2017 0:13	7/15/2017 0:13	Location update (Tracking)	31	0	2	6 / On / Valid	Off	Off	Opened	98% / 4.09v	_	22.0c	Besigheim	9.1508	48.9826	181	591016	
7/15/2017 0:33	7/15/2017 0:33	Tracking	64	0	64	7 / On / Valid	Off	Off	Opened	98% / 4.09v	_	22.0c	B?�ckingen	9.1764	49.1235	156	591016	
7/15/2017 0:53	7/15/2017 0:53	Tracking	70	0	310	6 / On / Valid	Off	Off	Opened	98% / 4.09v	_	21.0c	Jagstfeld	9.2008	49.2312	162	591016	
7/15/2017 1:33	7/15/2017 1:33	Tracking	78	0	40	5 / On / Valid	Off	Off	Opened	98% / 4.09v	_	21.0c	Hirschlanden	9.5119	49.4796	300	591016	
7/15/2017 1:53	7/15/2017 1:53	Tracking	81	0	326	6 / On / Valid	Off	Off	Opened	98% / 4.09v	_	20.0c	Lauda	9.7139	49.5608	182	591016	
7/15/2017 2:14	7/15/2017 2:14	Location update (Tracking)	80	0	74	5 / On / Valid	Off	Off	Opened	96% / 4.08v	_	19.0c	Uengershausen	9.9138	49.6952	288	591016	
7/15/2017 2:34	7/15/2017 2:34	Location update (Tracking)	71	0	283	5 / On / Valid	Off	Off	Opened	98% / 4.09v	_	19.0c	W?�rzburg	9.9379	49.8025	155	591016	
7/15/2017 2:54	7/15/2017 2:54	Tracking	7	0	0	7 / On / Valid	Off	Off	Opened	98% / 4.09v	_	18.0c	W?�rzburg	9.9347	49.803	166	591016	
7/15/2017 4:15	7/15/2017 4:15	Location update (Tracking)	89	0	22	4 / On / Valid	Off	Off	Opened	94% / 4.07v	_	18.0c	L?�schenrod	9.6694	50.5051	268	591016	
7/15/2017 5:14	7/15/2017 5:14	Tracking	81	0	333	6 / On / Valid	Off	Off	Opened	98% / 4.09v	_	16.0c	Kassel	9.4505	51.307	208	591016	
7/15/2017 5:34	7/15/2017 5:34	Location update (Tracking)	81	0	36	5 / On / Valid	Off	Off	Opened	96% / 4.08v	_	15.0c	J?�hnde	9.8044	51.4526	287	591016	
7/15/2017 5:54	7/15/2017 5:54	Tracking	42	0	28	6 / On / Valid	Off	Off	Opened	98% / 4.09v	_	15.0c	Leinem?�hle	9.9717	51.6796	111	591016	
7/15/2017 6:34	7/15/2017 6:34	Tracking	77	0	331	7 / On / Valid	Off	Off	Opened	98% / 4.09v	_	15.0c	Godenau	9.7947	52.0086	75	591016	
7/15/2017 6:54	7/15/2017 6:54	Tracking	94	0	330	7 / On / Valid	Off	Off	Opened	98% / 4.09v	_	15.0c	Heisede	9.8408	52.2615	28	591016	
7/15/2017 7:14	7/15/2017 7:14	Tracking	29	0	292	4 / On / Valid	Off	Off	Opened	98% / 4.09v	_	15.0c	"Letter, In Der Masch"	9.652	52.3937	53	591016	
7/15/2017 7:34	7/15/2017 7:34	Tracking	35	0	290	5 / On / Valid	Off	Off	Opened	98% / 4.09v	_	14.0c	Lohnde	9.5436	52.4019	41	591016	
7/15/2017 7:54	7/15/2017 7:54	Tracking	84	0	338	5 / On / Valid	Off	Off	Opened	98% / 4.09v	_	14.0c	Eilvese	9.4195	52.5581	29	591016	
7/15/2017 8:14	7/15/2017 8:14	Tracking	86	0	348	6 / On / Valid	Off	Off	Opened	98% / 4.09v	_	14.0c	Gandesbergen	9.2368	52.7646	_	591016	
7/15/2017 8:54	7/15/2017 8:54	Tracking	83	0	283	6 / On / Valid	Off	Off	Opened	98% / 4.09v	_	14.0c	Achim	9.0527	53.0124	24	591016	
7/15/2017 9:34	7/15/2017 9:34	Location update (Tracking)	84	0	316	4 / On / Valid	Off	Off	Opened	96% / 4.08v	_	14.0c	"Bremen (Customer PMI: Germany warehouse (Bremen, Germany))"	8.7251	53.1431	4	591016	
7/15/2017 9:34	7/15/2017 9:34	Tracking	86	0	314	4 / On / Valid	Off	Off	Opened	94% / 4.07v	_	15.0c	"Bremen (Customer PMI: Germany warehouse (Bremen, Germany))"	8.7185	53.1474	_	591016	
7/15/2017 9:54	7/15/2017 9:54	Tracking	95	0	5	5 / On / Valid	Off	Off	Opened	96% / 4.08v	_	15.0c	Bokel	8.7782	53.3936	_	591016	
7/15/2017 10:14	7/15/2017 10:14	Entering Port Bremerhaven (Germany)	91	0	348	5 / On / Valid	Off	Off	Opened	96% / 4.08v	_	15.0c	"Bremerhaven (Port Bremerhaven (Bremen, Germany, EU))"	8.6016	53.529	4	591016	
7/15/2017 17:54	7/15/2017 17:55	Tracking	50	0	0	5 / On / Valid	Off	Off	Opened	96% / 4.08v	_	20.0c	"?�berseehafengebiet (Port Bremerhaven (Bremen, Germany, EU))"	8.5569	53.5788	_	591016	
7/16/2017 1:56	7/16/2017 1:56	Location update (Tracking)	6	0	0	4 / On / Valid	Off	Off	Opened	90% / 4.05v	_	19.0c	"?�berseehafengebiet (Port Bremerhaven (Bremen, Germany, EU))"	8.5573	53.5786	43	591016	
7/16/2017 9:56	7/16/2017 9:56	Tracking	3	0	0	5 / On / Valid	Off	Off	Opened	96% / 4.08v	_	16.0c	"?�berseehafengebiet (Port Bremerhaven (Bremen, Germany, EU))"	8.5569	53.5788	22	591016	
7/16/2017 17:57	7/16/2017 17:57	Location update (Tracking)	0	0	0	4 / On / Valid	Off	Off	Opened	90% / 4.05v	_	18.0c	"?�berseehafengebiet (Port Bremerhaven (Bremen, Germany, EU))"	8.5571	53.5787	_	591016	
7/17/2017 1:58	7/17/2017 1:58	Location update (Tracking)	0	0	0	6 / On / Valid	Off	Off	Opened	90% / 4.05v	_	18.0c	"?�berseehafengebiet (Port Bremerhaven (Bremen, Germany, EU))"	8.557	53.5788	11	591016	
7/17/2017 9:58	7/17/2017 9:58	Location update (Tracking)	0	0	0	5 / On / Valid	Off	Off	Opened	90% / 4.05v	_	16.0c	"?�berseehafengebiet (Port Bremerhaven (Bremen, Germany, EU))"	8.5569	53.579	60	591016	
7/17/2017 17:58	7/17/2017 17:58	Tracking	0	0	0	5 / On / Valid	Off	Off	Opened	90% / 4.05v	_	24.0c	"?�berseehafengebiet, Amerikaring (Port Bremerhaven (Bremen, Germany, EU))"	8.5544	53.5816	_	591016	
7/18/2017 1:58	7/18/2017 1:59	Tracking	0	0	0	4 / On / Valid	Off	Off	Opened	90% / 4.05v	_	22.0c	"?�berseehafengebiet, Amerikaring (Port Bremerhaven (Bremen, Germany, EU))"	8.5543	53.5817	15	591016	
7/18/2017 9:59	7/18/2017 10:00	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	90% / 4.05v	_	17.0c	"?�berseehafengebiet, Amerikaring (Port Bremerhaven (Bremen, Germany, EU))"	8.5544	53.5816	_	591016	
7/18/2017 18:00	7/18/2017 18:00	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	88% / 4.04v	_	37.0c	"?�berseehafengebiet, Amerikaring (Port Bremerhaven (Bremen, Germany, EU))"	8.5544	53.5816	_	591016	
7/19/2017 2:00	7/19/2017 2:01	Tracking	0	0	0	6 / On / Valid	Off	Off	Opened	90% / 4.05v	_	25.0c	"?�berseehafengebiet, Amerikaring (Port Bremerhaven (Bremen, Germany, EU))"	8.5545	53.5816	7	591016	
7/19/2017 10:01	7/19/2017 10:01	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	90% / 4.05v	_	17.0c	"?�berseehafengebiet, Amerikaring (Port Bremerhaven (Bremen, Germany, EU))"	8.5545	53.5816	6	591016	
7/19/2017 18:02	7/19/2017 18:02	Tracking	0	0	0	6 / On / Valid	Off	Off	Opened	88% / 4.04v	_	37.0c	"?�berseehafengebiet, Amerikaring (Port Bremerhaven (Bremen, Germany, EU))"	8.5544	53.5816	_	591016	
7/20/2017 2:02	7/20/2017 2:02	Tracking	0	0	0	5 / On / Valid	Off	Off	Opened	90% / 4.05v	_	24.0c	"?�berseehafengebiet, Amerikaring (Port Bremerhaven (Bremen, Germany, EU))"	8.5545	53.5816	_	591016	
7/20/2017 10:02	7/20/2017 10:03	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	90% / 4.05v	_	19.0c	"?�berseehafengebiet, Amerikaring (Port Bremerhaven (Bremen, Germany, EU))"	8.5543	53.5816	_	591016	
7/20/2017 18:03	7/20/2017 18:03	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	88% / 4.04v	_	28.0c	"?�berseehafengebiet, Amerikaring (Port Bremerhaven (Bremen, Germany, EU))"	8.5544	53.5816	2	591016	
7/21/2017 2:04	7/21/2017 2:04	Location update (Tracking)	0	0	0	6 / On / Valid	Off	Off	Opened	86% / 4.03v	_	22.0c	"?�berseehafengebiet, Amerikaring (Port Bremerhaven (Bremen, Germany, EU))"	8.5544	53.5815	_	591016	
